"[1, 2, 0, 0, 0, 0, 0, 2, 1]","[-20.         -45.23600013 -28.8         -8.9088064    9.99999998
 -12.8        -12.8        -18.2857511  -18.04282785]"
"[1, 1, 0, 0, 0, 0, 0, 2, 2]","[-45.27166851 -61.71922888  10.         -28.8        -32.25859864
 -11.80131215   1.8815639  -32.43600002   0.        ]"
"[1, 1, 1, 0, 0, 2, 0, 2, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 0, 2, 0, 0, 0, 0, 2]","[-88.129326   -90.0151821   10.         -88.07112837   9.70552343
   6.43453393   5.87194252   8.8472088  -89.92674457]"
"[1, 0, 1, 0, 0, 2, 0, 0, 2]","[-90.0989995   10.         -90.09997683   9.89643401   9.89974041
 -90.0938971    9.89819071   8.74159473 -90.09947327]"
"[1, 0, 0, 2, 1, 0, 0, 2, 0]","[-34.05566969   9.89998169   6.19501599 -33.323258   -32.47329016
   0.           3.60011232 -45.27204199   2.        ]"
"[1, 1, 0, 0, 0, 2, 0, 0, 2]","[-20.         -55.0210689    9.99999996   2.9151936  -26.24
 -32.43651408 -28.8        -16.         -18.02000001]"
"[1, 1, 0, 0, 2, 0, 2, 0, 0]","[-90.03057632 -90.0716503   10.         -19.66133425 -90.09839256
 -27.44722535 -90.09233514 -38.34083911 -32.97731683]"
"[0, 1, 0, 0, 0, 0, 0, 2, 0]","[  8.77497962   0.           0.57024      1.35248511   0.
   0.           3.95016209 -32.95022741   0.42976246]"
"[1, 1, 0, 2, 0, 0, 0, 2, 0]","[-88.83729847 -89.76896214  10.         -88.47690269   9.78880588
   8.77421834   7.62940913 -89.43519105   9.8790273 ]"
"[1, 2, 1, 0, 0, 0, 0, 2, 0]","[-90.21378292 -90.20844146 -90.21968308 -19.81258907   9.89275311
 -41.17454229 -64.39857117 -90.22279581 -23.73080136]"
"[1, 2, 1, 0, 1, 2, 0, 2, 0]","[-89.89196733 -90.08871061 -90.08571949   9.9        -89.96201912
 -90.03120192  10.         -90.01753208   9.98065719]"
"[1, 1, 0, 0, 2, 0, 0, 2, 0]","[-88.5214885  -85.28276468  10.           7.75221097 -89.5697123
   5.97589493   9.53067801 -88.47711324   7.66488531]"
